product_id;neighbor_products_id
51128;[39974, 112487, 75987, 18359, 39426, 18283, 41685, 40165, 79808, 82376]
79463;[58573, 110151, 91966, 115292, 81531, 98288, 117013, 33338, 18364, 91968]
50985;[38174, 62393, 115299, 29439, 116664, 56406, 81502, 82101, 69482, 18008]
18625;[18334, 118798, 70106, 61088, 41388, 70937, 18283, 82376, 40541, 123006]
62353;[61726, 81502, 64855, 18202, 29576, 40837, 69482, 93865, 117871, 116664]
77452;[104682, 69504, 117726, 18446, 38176, 40759, 117358, 20571, 107588, 79434]
51605;[112487, 18359, 82117, 18374, 39426, 54724, 61090, 20571, 69482, 42530]
64852;[29439, 78136, 90672, 108455, 18136, 72008, 71728, 115352, 80206, 19687]
86036;[41685, 18219, 61358, 40165, 81396, 87049, 61090, 73358, 77895, 18283]
39936;[61090, 18219, 41388, 88422, 82376, 53366, 72008, 118698, 119482, 39411]
104417;[105906, 38178, 18381, 80225, 115238, 56398, 81449, 76473, 18364, 116664]
18468;[18359, 39426, 18374, 51605, 112487, 15998, 110853, 42530, 70828, 54724]
18204;[18381, 18379, 18364, 20484, 53365, 73582, 116664, 107697, 85920, 88213]
126469;[41685, 91338, 20009, 80020, 84107, 110511, 112675, 75984, 126470, 133494]
88213;[79808, 76483, 127211, 90167, 105432, 18484, 86635, 91957, 110467, 88422]
18446;[18359, 18364, 18323, 116664, 40258, 63030, 84121, 70828, 85235, 18381]
58802;[64855, 81420, 109240, 85834, 115371, 89525, 20484, 18364, 63016, 79955]
69504;[133569, 18359, 107624, 127211, 29439, 85491, 94174, 30141, 105673, 117358]
39974;[51128, 112487, 84585, 51605, 39426, 61090, 106431, 38174, 117020, 24921]
117926;[115951, 18364, 29439, 71729, 71510, 115299, 109982, 110501, 117070, 89923]
61059;[75535, 86980, 61090, 58642, 85444, 84107, 115331, 19685, 37985, 61358]
18334;[118798, 18625, 107697, 41800, 40779, 18323, 125806, 18330, 70937, 51138]
82419;[76474, 71728, 30621, 16660, 120978, 53366, 69504, 18301, 71734, 41388]
129946;[18309, 18283, 85491, 73358, 127418, 72008, 38740, 41388, 76483, 39150]
18240;[18359, 79913, 92947, 69482, 18283, 37985, 37934, 90177, 18364, 115362]
18611;[85282, 119482, 105432, 40998, 18309, 41388, 84127, 40189, 19687, 41373]
38092;[92709, 85162, 17620, 51605, 38018, 70828, 82010, 38178, 65123, 18136]
18437;[38239, 51609, 88422, 116982, 37946, 79808, 76483, 108788, 63088, 37998]
18202;[40837, 71735, 18201, 68604, 51023, 62353, 29439, 113388, 42519, 76473]
64855;[18283, 85491, 40541, 53366, 79258, 77895, 90177, 119482, 40165, 78091]
51022;[18333, 18154, 18305, 116664, 109707, 63753, 87128, 38740, 29439, 69482]
62361;[63753, 40998, 111045, 85363, 18163, 118698, 66528, 44966, 72008, 86036]
41390;[18359, 64290, 118698, 40165, 51128, 43381, 79913, 117645, 69504, 62614]
117358;[18359, 55412, 81570, 94176, 106000, 62614, 39426, 69112, 69504, 18330]
112662;[85331, 88721, 86660, 115845, 115371, 17787, 109992, 105673, 115984, 78063]
69874;[115238, 51607, 123325, 18612, 18437, 56398, 31678, 126469, 69496, 112487]
82886;[71728, 110090, 40998, 41388, 18437, 93818, 29439, 71729, 18301, 38092]
125940;[66007, 115295, 30141, 20035, 104665, 122738, 115343, 107588, 110007, 61100]
73582;[73628, 76483, 88421, 76474, 126120, 108112, 53366, 75987, 19688, 63088]
58838;[37998, 111017, 89741, 47740, 38018, 105906, 29439, 21349, 39100, 51575]
73583;[126120, 30141, 91195, 104665, 32340, 62353, 40998, 92018, 91966, 89666]
117929;[18381, 68604, 51023, 18364, 51061, 84669, 84668, 61090, 116664, 19721]
82489;[71728, 29439, 18452, 115299, 77453, 19757, 112662, 18359, 110024, 94175]
68608;[29439, 132863, 65123, 55744, 18305, 41701, 19686, 108112, 69882, 15613]
42528;[77453, 71735, 84669, 69482, 19821, 64855, 40189, 51061, 41463, 63811]
38306;[107697, 40779, 18305, 70828, 18364, 118798, 70937, 18154, 51061, 18323]
38239;[18437, 50956, 116403, 115238, 132863, 20009, 110709, 61306, 105906, 41685]
41373;[39426, 85282, 38012, 119482, 18359, 41388, 39974, 18611, 19808, 51128]
50921;[116951, 75659, 18364, 110709, 115347, 116942, 111023, 82377, 126120, 84873]
66484;[88354, 18004, 70618, 89741, 77941, 71314, 118812, 112129, 76425, 38636]
76873;[92019, 75304, 130075, 53366, 44966, 85163, 99601, 78090, 37982, 40165]
38124;[123172, 79808, 51631, 41388, 33757, 18309, 40165, 40189, 39411, 19642]
117871;[54723, 62353, 39426, 110511, 18364, 85074, 53365, 39884, 122670, 62529]
18612;[91518, 63753, 40189, 112441, 37985, 20490, 51575, 69874, 69496, 72008]
85331;[112662, 88721, 30581, 20031, 61365, 85163, 81396, 61358, 115405, 115295]
51916;[29439, 68604, 41701, 51023, 85325, 75386, 123054, 113998, 40446, 41688]
18484;[122732, 78088, 88422, 32151, 51193, 79808, 41860, 51631, 86635, 110467]
66462;[37985, 41388, 64851, 76483, 128867, 44966, 80040, 53366, 123260, 80038]
62360;[92019, 105447, 89526, 30540, 105432, 39411, 88267, 80253, 88123, 53366]
38212;[63753, 37985, 51559, 69496, 40189, 62614, 117358, 53366, 20474, 33757]
58839;[38304, 130018, 108244, 132863, 37998, 55744, 38018, 89741, 115355, 18355]
112488;[89621, 87187, 126120, 19083, 107591, 73583, 89593, 89575, 19778, 88096]
105700;[18359, 38932, 42528, 16472, 16494, 29439, 71735, 116664, 88215, 118807]
51193;[30839, 18484, 112487, 81435, 71507, 39974, 40189, 79789, 71508, 18446]
104127;[85282, 108839, 18283, 41388, 18143, 61088, 41860, 107618, 40998, 82243]
126470;[126469, 92461, 63922, 62589, 37985, 40189, 37998, 18219, 38018, 41388]
38044;[88421, 70937, 115238, 41388, 61088, 31524, 85491, 127418, 38176, 41679]
18595;[92709, 19595, 18136, 18204, 107244, 94174, 18364, 18330, 43574, 72008]
129174;[130324, 20023, 29439, 19757, 41685, 68940, 71323, 63753, 90191, 111045]
38174;[38012, 51605, 69874, 39974, 50985, 19715, 18188, 117358, 110073, 37998]
112253;[76474, 104406, 75535, 29439, 41701, 89947, 129946, 51021, 20978, 63115]
18143;[39445, 40165, 39353, 82376, 108839, 18283, 119482, 41388, 40541, 39426]
115238;[56398, 93958, 69874, 104417, 69496, 38212, 38012, 70828, 132863, 51607]
56398;[115238, 106192, 40304, 123174, 65078, 69874, 18202, 51605, 75984, 116554]
75386;[29439, 41701, 123623, 76473, 123031, 51916, 51023, 71104, 69882, 89682]
57385;[133494, 80040, 85363, 18612, 128867, 85444, 104430, 79808, 20774, 42519]
38012;[39426, 54904, 42530, 38740, 108839, 41373, 110024, 51631, 85366, 110511]
50997;[16201, 88267, 58886, 76099, 92944, 110695, 43658, 120946, 18950, 72081]
51607;[16688, 19874, 69874, 116187, 18437, 115238, 87504, 56398, 110512, 38176]
91499;[40734, 51021, 117929, 41701, 79877, 51117, 117123, 29439, 40446, 75920]
112147;[43382, 21616, 104474, 113383, 20630, 19788, 106794, 60301, 39996, 91462]
41389;[62529, 71447, 40189, 40268, 128901, 83374, 64855, 44795, 18359, 51128]
51609;[104413, 37998, 86720, 18437, 76426, 85162, 51572, 127373, 38176, 128301]
42530;[38012, 18359, 18468, 70828, 38740, 106004, 18374, 38636, 112487, 20691]
110733;[51559, 18612, 133494, 58839, 38304, 51609, 38018, 56227, 126469, 37998]
110177;[125970, 110707, 111023, 104968, 112487, 80068, 54860, 21653, 89712, 110709]
70106;[18625, 29439, 50095, 18334, 117871, 126469, 62589, 38740, 25068, 77452]
117927;[72486, 20471, 72488, 130808, 93848, 50019, 58615, 84107, 18468, 44005]
18355;[37998, 29439, 18359, 68604, 132803, 133569, 131606, 132869, 117726, 51916]
127211;[83728, 88213, 79808, 110467, 90126, 86635, 88422, 51631, 41860, 32151]
41463;[42509, 66583, 110698, 44800, 38787, 23076, 42528, 20458, 30422, 77453]
62614;[18390, 110017, 38212, 75305, 87095, 69496, 69112, 43378, 111026, 51558]
