;product_id;name;price;link;category
96;126074;Peberfrugter;6,00/Stk.;/produkt/peberfrugter/126074/;frugt-og-groent/
97;55159;Spisemodne avocadoer øko;15,00/Stk.;/produkt/salling-oeko-spisemodne-avocadoer-oeko/55159/;frugt-og-groent/
98;18188;Æbler;14,67/Kg.;/produkt/salling-aebler/18188/;frugt-og-groent/
99;51575;Salatblanding øko;133,33/Kg.;/produkt/salatblanding-oeko/51575/;frugt-og-groent/
100;69496;Brune champignon øko;62,50/Kg.;/produkt/salling-oeko-brune-champignon-oeko/69496/;frugt-og-groent/
101;51631;Avocadoer øko;50,00/Kg.;/produkt/salling-oeko-avocadoer-oeko/51631/;frugt-og-groent/
102;29516;Klementiner;27,78/Kg.;/produkt/princip-klementiner/29516/;frugt-og-groent/
103;18527;Passionsfrugt;5,00/Stk.;/produkt/passionsfrugt/18527/;frugt-og-groent/
104;18528;Citronsaft;27,50/L.;/produkt/limochef-citronsaft/18528/;frugt-og-groent/
105;18570;Søde kartofler;15,00/Stk.;/produkt/soede-kartofler/18570/;frugt-og-groent/
106;38176;Bredbladet persille øko, afskåret;360,00/Kg.;/produkt/salling-oeko-bredbladet-persille-oeko-afskaaret/38176/;frugt-og-groent/
107;51058;Peberfrugter grønne;7,25/Stk.;/produkt/peberfrugter-groenne/51058/;frugt-og-groent/
108;51128;Koriander øko;15,00/Stk.;/produkt/salling-oeko-koriander-oeko/51128/;frugt-og-groent/
109;79463;Coleslaw;50,00/Kg.;/produkt/salling-nu-coleslaw/79463/;frugt-og-groent/
110;50985;Helbladet skyllet spinat;88,00/Kg.;/produkt/salling-nu-ready-to-serve-helbladet-skyllet-spinat/50985/;frugt-og-groent/
111;18625;Pastinakker øko;24,00/Kg.;/produkt/salling-oeko-pastinakker-oeko/18625/;frugt-og-groent/
112;62353;Granatæblekerner;200,00/Kg.;/produkt/salling-nu-granataeblekerner/62353/;frugt-og-groent/
113;77452;Bimi Aspargesbroccoli;110,00/Kg.;/produkt/bimi-aspargesbroccoli/77452/;frugt-og-groent/
114;51605;Koriander, Afskåret;850,00/Kg.;/produkt/koriander-afskaaret/51605/;frugt-og-groent/
115;64852;Æbler;2,50/Stk.;/produkt/salling-aebler/64852/;frugt-og-groent/
116;86036;Skyllet rucola øko;226,67/Kg.;/produkt/salling-oeko-skyllet-rucola-oeko/86036/;frugt-og-groent/
117;39936;Icebergsalat øko;14,00/Stk.;/produkt/salling-oeko-icebergsalat-oeko/39936/;frugt-og-groent/
118;104417;Brune champignon;60,00/Kg.;/produkt/brune-champignon/104417/;frugt-og-groent/
119;18468;Rød chili;200,00/Kg.;/produkt/salling-chili-roed-chili/18468/;frugt-og-groent/
120;18204;Appelsiner;13,50/Kg.;/produkt/appelsiner/18204/;frugt-og-groent/
121;126469;Basilikum øko;28,00/Stk.;/produkt/oeko-basilikum-oeko/126469/;frugt-og-groent/
122;88213;Rød grapefrugt øko;7,00/Stk.;/produkt/roed-grapefrugt-oeko/88213/;frugt-og-groent/
123;18446;Spinat;75,00/Kg.;/produkt/salling-spinat/18446/;frugt-og-groent/
124;58802;Snittet og skyllet gourmet salatblanding;100,00/Kg.;/produkt/salling-nu-snittet-og-skyllet-gourmet-salatblanding/58802/;frugt-og-groent/
125;69504;Sukkerærter;120,00/Kg.;/produkt/sukkeraerter/69504/;frugt-og-groent/
126;39974;Mynte øko;15,00/Stk.;/produkt/salling-oeko-mynte-oeko/39974/;frugt-og-groent/
127;117926;Tomater snack;60,00/Kg.;/produkt/tomater-snack/117926/;frugt-og-groent/
128;61059;Skyllet feldsalat øko;226,67/Kg.;/produkt/salling-oeko-skyllet-feldsalat-oeko/61059/;frugt-og-groent/
129;18334;Knoldselleri;15,00/Stk.;/produkt/knoldselleri/18334/;frugt-og-groent/
130;82419;Ida tomater;140,00/Kg.;/produkt/pedersens-udvalgte-ida-tomater/82419/;frugt-og-groent/
131;129946;Hvidløg øko;110,00/Kg.;/produkt/salling-oeko-hvidloeg-oeko/129946/;frugt-og-groent/
132;18240;Mango;20,00/Stk.;/produkt/mango/18240/;frugt-og-groent/
133;18611;Hvide champignon øko;85,00/Kg.;/produkt/salling-oeko-hvide-champignon-oeko/18611/;frugt-og-groent/
134;38092;Citroner ubehandlede;6,50/Stk.;/produkt/salling-citrusfrugter-citroner-ubehandlede/38092/;frugt-og-groent/
135;18437;Timian øko;15,00/Stk.;/produkt/salling-oeko-timian-oeko/18437/;frugt-og-groent/
136;18202;Brombær;80,00/Kg.;/produkt/driscolls-brombaer/18202/;frugt-og-groent/
137;64855;Snittet og skyllet grønkål øko;88,00/Kg.;/produkt/salling-oeko-snittet-og-skyllet-groenkaal-oeko/64855/;frugt-og-groent/
138;51022;Hvidløg;88,00/Kg.;/produkt/hvidloeg/51022/;frugt-og-groent/
139;62361;Skyllet babyspinat øko;226,67/Kg.;/produkt/salling-oeko-ready-to-serve-skyllet-babyspinat-oeko/62361/;frugt-og-groent/
140;41390;Bønnespirer øko;88,33/Kg.;/produkt/boennespirer-oeko/41390/;frugt-og-groent/
141;117358;Pak choi;9,00/Stk.;/produkt/pak-choi/117358/;frugt-og-groent/
142;112662;Crisp Salat;200,00/Kg.;/produkt/nordic-harvest-crisp-salat/112662/;frugt-og-groent/
143;69874;Bananskalotteløg;40,00/Kg.;/produkt/bananskalotteloeg/69874/;frugt-og-groent/
144;82886;San Marzano tomater;100,00/Kg.;/produkt/pedersens-udvalgte-san-marzano-tomater/82886/;frugt-og-groent/
145;125940;Dadler;50,00/Kg.;/produkt/dadler/125940/;frugt-og-groent/
146;73582;Snittet og skyllet kålmix m. spidskål & grønkål øko;66,67/Kg.;/produkt/salling-oeko-snittet-og-skyllet-kaalmix-m-spidskaal-og-groenkaal-oeko/73582/;frugt-og-groent/
147;58838;Karse, lille bakke;5,55/Stk.;/produkt/karse-lille-bakke/58838/;frugt-og-groent/
148;73583;Snittet og skyllet spidskål øko;50,00/Kg.;/produkt/salling-oeko-snittet-og-skyllet-spidskaal-oeko/73583/;frugt-og-groent/
149;117929;Røde druer;46,67/Kg.;/produkt/roede-druer/117929/;frugt-og-groent/
